hpid,name,emcls,emcls_name,addr,tel_main,tel_er,lat,lon,sido
A2200013,한림대학교춘천성심병원,G001,권역응급의료센터,강원특별자치도 춘천시 삭주로 77 (교동),033-240-5000,033-240-5219,37.88413581388737,127.73989454269613,강원특별자치도
A2200014,홍천아산병원,G007,지역응급의료기관,강원특별자치도 홍천군 홍천읍 산림공원1길 17,033-430-5211,033-430-5119,37.69082165229579,127.89490721695594,강원특별자치도
E2200025,화천군보건의료원,G007,지역응급의료기관,강원특별자치도 화천군 화천읍 강변로 111 (화천군보건의료원),033-441-4000,033-440-2880,38.1073824571151,127.708883438378,강원특별자치도
A2200016,횡성대성병원,G007,지역응급의료기관,강원특별자치도 횡성군 횡성읍 횡성로 275,033-343-0901,033-345-1191,37.47845901170136,127.97994775890871,강원특별자치도
A2100019,(의)영문의료재단다보스병원,G006,지역응급의료센터,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",031-8021-2114,031-8021-2130,37.234641294534285,127.21049868474802,경기도
A2100122,(의)효심의료재단용인서울병원,G007,지역응급의료기관,경기도 용인시 처인구 고림로 81 (고림동),031-337-0114,031-336-0119,37.240316373,127.2144914405,경기도
A2100052,가톨릭대학교부천성모병원,G006,지역응급의료센터,"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",032-1577-0675,032-340-2100,37.4874477394264,126.79243459154999,경기도
A2100012,가톨릭대학교성빈센트병원,G006,지역응급의료센터,경기도 수원시 팔달구 중부대로 93 (지동),031-1577-8588,031-249-7370,37.27792234538125,127.02744945028702,경기도
A2100040,가톨릭대학교의정부성모병원,G001,권역응급의료센터,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",1661-7500,031-820-5200,37.75865547828227,127.07767290194454,경기도
A2100029,강남병원,G006,지역응급의료센터,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",031-300-0114,031-300-0119,37.27377983891884,127.11140719951389,경기도
A2100032,경기도의료원수원병원,G007,지역응급의료기관,경기도 수원시 장안구 수성로245번길 69 (정자동),031-888-0114,031-888-0119,37.29188165276277,126.99638776108885,경기도
A2100045,경기도의료원안성병원,G007,지역응급의료기관,"경기도 안성시 남파로 95, 경기도의료원 안성병원 (당왕동)",031-8046-5000,031-8046-5119,37.01736702955601,127.26033944589187,경기도
A2100043,경기도의료원의정부병원,G007,지역응급의료기관,경기도 의정부시 흥선로 142 (의정부동),0318285000,031-828-5119,37.74108830096243,127.04255485020957,경기도
A2100193,경기도의료원이천병원,G006,지역응급의료센터,경기도 이천시 경충대로 2742 (관고동),031-630-4200,031-630-4333,37.282694444444445,127.43266388888888,경기도
A2100035,경기도의료원파주병원,G006,지역응급의료센터,"경기도 파주시 중앙로 207, 경기도립의료원파주병원 (금촌동)",031-940-9100,031-940-9119,37.7548802103,126.779637936,경기도
A2100031,경기도의료원포천병원,G006,지역응급의료센터,경기도 포천시 포천로 1648 (신읍동),031-539-9114,031-539-9119,37.903264018475866,127.1983186069986,경기도
A2100003,고려대학교의과대학부속안산병원,G001,권역응급의료센터,경기도 안산시 단원구 적금로 123 (고잔동),031-1577-7516,031-412-5381,37.31885818300129,126.8250018362211,경기도
A2100007,광명성애병원,G006,지역응급의료센터,"경기도 광명시 디지털로 36, 광명성애병원 (철산동)",02-2680-7114,02-2680-7116,37.4734614743463,126.87192258470483,경기도
A2100258,국군수도병원,G007,지역응급의료기관,경기도 성남시 분당구 새마을로177번길 81 (율동),031-725-6075,031-725-6119,37.39186666666668,127.14858611111111,경기도
A2100049,국립암센터,G007,지역응급의료기관,경기도 고양시 일산동구 일산로 323 (마두동),031-920-0114,031-920-0119,37.664170778165285,126.78327945120733,경기도
A2100033,국민건강보험공단일산병원,G001,권역응급의료센터,"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",1577-0013,031-900-0761,37.64530592402248,126.792204040477,경기도
A2100014,근로복지공단안산병원,G007,지역응급의료기관,"경기도 안산시 상록구 구룡로 87, 근로복지공단안산병원 (일동)",031-500-1114,031-500-1119,37.31687107499767,126.87402848671928,경기도
A2100041,남양주한양병원,G006,지역응급의료센터,경기도 남양주시 오남읍 양지로 47-55,031-510-0114,031-510-0119,37.682380941575715,127.2043136287129,경기도
A2100017,대아의료재단한도병원,G006,지역응급의료센터,경기도 안산시 단원구 선부광장로 103 (선부동),031-8040-1114,031-8040-1129,37.334033447174896,126.80765584591039,경기도
A2100025,대진의료재단분당제생병원,G006,지역응급의료센터,경기도 성남시 분당구 서현로180번길 20 (서현동),031-779-0114,031-779-0119,37.387871379956906,127.12132819639598,경기도
A2100047,동국대학교일산불교병원,G006,지역응급의료센터,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",031-1577-7000,031-961-7777,37.67643677699999,126.8055658392,경기도
A2100135,동두천중앙성모병원,G009,응급실운영신고기관,경기도 동두천시 동광로 53 (생연동),031-863-0550,031-863-1339,37.90888404022765,127.05398051509535,경기도
A2100162,동안산병원,G009,응급실운영신고기관,경기도 안산시 상록구 월피로 88 (월피동),031-410-1116,031-413-1116,37.3356927564414,126.852680642321,경기도
A2119276,매듭병원,G009,응급실운영신고기관,"경기도 수원시 영통구 태장로 68, 매듭병원 (망포동)",031-1800-9909,031-546-0030,37.2389316890871,127.05354381098,경기도
A2100131,메디인병원,G007,지역응급의료기관,경기도 파주시 금릉역로 190(금촌동),0319431191,031-570-7912,37.75804616829998,126.7748532614,경기도
A2121142,메디필드한강병원,G007,지역응급의료기관,경기도 용인시 처인구 금령로39번길 8-6 (김량장동),031-1551-0077,031-332-1119,37.2353957826327,127.201080221312,경기도
A2100083,무척조은병원,G009,응급실운영신고기관,경기도 파주시 문산읍 방촌로 1675-20,031-954-1400,031-953-0119,37.86396621605936,126.78097787974224,경기도
A2100130,문산중앙병원,G009,응급실운영신고기관,"경기도 파주시 문산읍 문향로39번길 53, 문산중앙병원",031-950-9000,031-950-9099,37.85424810677575,126.78322857702757,경기도
A2106200,바른마디병원,G009,응급실운영신고기관,경기도 성남시 중원구 광명로 330 (금광동),1599-0015,,37.445269636513494,127.16256645920153,경기도
A2100180,바른병원,G009,응급실운영신고기관,"경기도 이천시 경충대로 2543, 바른병원 (진리동)",031-630-0300,031-630-0399,37.27373314023728,127.45038927398872,경기도
A2100055,부천세종병원,G006,지역응급의료센터,"경기도 부천시 소사구 호현로489번길 28 (소사본동, 세종병원)",1599-6677,032-340-1119,37.4810049006,126.79116743230001,경기도
A2100058,부천우리병원,G009,응급실운영신고기관,경기도 부천시 오정구 소사로 726 (원종동),032-672-4100,032-672-2400,37.52438752921628,126.8051855988659,경기도
A2100001,분당서울대학교병원,G001,권역응급의료센터,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원)",031-787-2114,031-787-3119,37.35202597297615,127.12448354572743,경기도
A2116806,성남시의료원,G006,지역응급의료센터,"경기도 성남시 수정구 수정로171번길 10, 성남시의료원 (태평동)",031-738-7000,031-738-7300,37.44498428779224,127.13905704599767,경기도
A2100011,성남중앙병원,G009,응급실운영신고기관,경기도 성남시 중원구 산성대로476번길 12 (금광동),031-743-3000,031-799-5599,37.4528032109466,127.16209535008764,경기도
A2115807,성모윌병원,G009,응급실운영신고기관,"경기도 성남시 수정구 성남대로 1171, 삼성화재빌딩 1층일부, 2~9층 (수진동)",031-751-2075,1833-5001,37.4344473895,127.1282853418,경기도
A2100255,성심중앙병원,G009,응급실운영신고기관,"경기도 평택시 안중읍 안현로서6길 16, 성심중앙병원",031-681-1119,031-681-1119,36.9840021910249,126.92773248728594,경기도
A2100194,세종여주병원,G007,지역응급의료기관,"경기도 여주시 청심로 39, 세종여주병원 (하동)",031-880-7700,031-880-7754,37.3013258027,127.6267201581,경기도
A2100206,수원중앙병원,G009,응급실운영신고기관,경기도 수원시 권선구 권선로 654 (권선동),031-229-9777,031-229-9888,37.259913344591446,127.0228408488501,경기도
A2100016,순천의료재단성남정병원,G007,지역응급의료기관,"경기도 성남시 수정구 수정로 76, 지하3~9층 (수진동)",031-750-6000,031-750-6003,37.43962497395649,127.12863916535001,경기도
A2100005,순천향대학교부속부천병원,G001,권역응급의료센터,"경기도 부천시 원미구 조마루로 170, 부흥로 173(1층일부) (중동)",032-621-5114,032-621-5117,37.49857073407877,126.76238239812001,경기도
A2100002,아주대학교병원,G001,권역응급의료센터,경기도 수원시 영통구 월드컵로 164 (원천동),031-219-5114,031-219-7777,37.2794477573662,127.04752107106702,경기도
A2100305,안성성모병원,G007,지역응급의료기관,경기도 안성시 시장길 58 (서인동),031-675-6007,031-675-8275,37.00610345894585,127.2708442991513,경기도
A2100134,양주예쓰병원,G009,응급실운영신고기관,경기도 양주시 회정로 103 (덕정동),031-825-5000,031-825-0119,37.83756356362081,127.06463890111564,경기도
A2100089,양평병원,G007,지역응급의료기관,경기도 양평군 양평읍 중앙로 129,031-770-5000,031-770-5119,37.493962635485616,127.50347093330032,경기도
A2100282,에이치제이매그놀리아국제병원,G009,응급실운영신고기관,경기도 가평군 설악면 미사리로 267-177,031-589-4300,031-589-4465,37.69104512763415,127.52141322182567,경기도
A2118188,엘병원,G007,지역응급의료기관,"경기도 남양주시 퇴계원읍 퇴계원로 20, 지하2~지상7층 일부제외호",1899-3377,031-527-6119,37.6487334911668,127.141048740049,경기도
A2100020,연세대학교의과대학용인세브란스병원,G006,지역응급의료센터,경기도 용인시 기흥구 동백죽전대로 363 (중동),1899-1004,031-5189-9001,37.270775831978774,127.14818862464037,경기도
A2100173,연세새로운병원,G009,응급실운영신고기관,경기도 여주시 영릉로 22 (창동),031-885-7582,031-885-7582,37.289871650589454,127.63287952191527,경기도
E2100187,연천군보건의료원,G007,지역응급의료기관,경기도 연천군 전곡읍 은대성로 95,031-839-4001,031-839-4119,38.02374166666665,127.06124444444444,경기도
A2100024,오산한국병원,G006,지역응급의료센터,경기도 오산시 밀머리로1번길 16 (원동),031-379-8300,031-378-5119,37.14122844920573,127.07533756274843,경기도
A2100048,원광대학교산본병원,G006,지역응급의료센터,경기도 군포시 산본로 321 (산본동),031-390-2300,031-390-2345,37.359787179442414,126.93330716393871,경기도
A2100208,원병원,G009,응급실운영신고기관,경기도 남양주시 화도읍 경춘로 1943-16,031-590-3114,031-5903-1189,37.651957172510606,127.30437739416752,경기도
A2100116,윤서병원,G009,응급실운영신고기관,경기도 구리시 건원대로 47 (인창동),031-553-6650,031-564-2222,37.60519852568096,127.13961137900537,경기도
A2100036,의료법인 일심의료재단 포천우리병원,G007,지역응급의료기관,경기도 포천시 소흘읍 호국로 661,031-542-0222,031-541-8282,37.827495913257785,127.1481437183119,경기도
A2100309,의료법인갈렌의료재단박병원,G007,지역응급의료기관,경기도 평택시 송탄로 33 (장당동),031-666-2600,031-662-4119,37.0482647009,127.05700385749999,경기도
A2100008,의료법인남촌의료재단시화병원,G006,지역응급의료센터,"경기도 시흥시 군자천로 381, 시화병원 (정왕동)",031-1811-7000,031-5189-0567,37.349955639806,126.736970968751,경기도
A2100009,의료법인녹산의료재단동수원병원,G006,지역응급의료센터,경기도 수원시 팔달구 중부대로 165 (우만동),031-210-0114,031-210-0119,37.27816562305189,127.0343637912553,경기도
A2100050,의료법인대인의료재단다니엘종합병원,G007,지역응급의료기관,"경기도 부천시 원미구 중동로 361, 다니엘종합병원 (약대동)",032-670-0001,032-670-0119,37.512321557883574,126.76948894065183,경기도
A2121061,의료법인덕산의료재단수원덕산병원,G007,지역응급의료기관,경기도 수원시 권선구 서부로 1674 (고색동),031-686-2000,031-686-2911,37.258630123004,126.974461185614,경기도
A2100013,의료법인록향의료재단신천연합병원,G007,지역응급의료기관,"경기도 시흥시 복지로 57, 복지로 61, 2층 (대야동)",031-310-6300,031-310-6661,37.44454605843136,126.78938385106555,경기도
A2117135,의료법인명인의료재단화홍병원,G006,지역응급의료센터,경기도 수원시 권선구 호매실로90번길 98 (호매실동),031-278-0119,031-8021-6829,37.2601427452511,126.963891671858,경기도
A2100042,의료법인명지의료재단명지병원,G001,권역응급의료센터,경기도 고양시 덕양구 화수로14번길 55 (화정동),031-810-5114,031-810-7119,37.64207169115689,126.83145733035825,경기도
A2100022,의료법인박애의료재단박애병원,G007,지역응급의료기관,경기도 평택시 평택2로20번길 3 (평택동),031-652-2121,031-650-9219,36.99308383421509,127.08907896026507,경기도
A2100028,의료법인백송의료재단굿모닝병원,G006,지역응급의료센터,경기도 평택시 중앙로 338 (합정동),031-5182-7700,031-5182-7582,36.9905734199,127.120463688,경기도
A2100027,의료법인석경의료재단센트럴병원,G007,지역응급의료기관,"경기도 시흥시 공단1대로 237 (정왕동, 센트럴 병원)",031-8041-3000,031-8041-3019,37.336409472880064,126.72768862827667,경기도
A2116972,의료법인성광의료재단일산차병원,G007,지역응급의료기관,"경기도 고양시 일산동구 중앙로 1205, 지하1층(일부),지하2층,지하4층(일부),1층(일부),2층(일부),3층(일부),4~5층,6층(일부), 7~10층 (장항동)",031-782-8300,031-782-8587,37.65413326289407,126.77574306091104,경기도
A2113246,의료법인양진의료재단평택성모병원,G006,지역응급의료센터,경기도 평택시 평택로 284 (세교동),031--1800-8800,070-5012-0119,37.008809910565546,127.07371568769604,경기도
A2100034,의료법인영동의료재단의정부백병원,G007,지역응급의료기관,경기도 의정부시 금신로 322 (신곡동),031-856-8111,031-842-1211,37.74536735722315,127.06206709820381,경기도
A2100053,의료법인우리의료재단김포우리병원,G006,지역응급의료센터,"경기도 김포시 감암로 11, 김포우리병원 (걸포동)",031-999-1000,031-999-1119,37.632530143647166,126.7105272263707,경기도
A2115699,의료법인원광의료재단원광종합병원,G007,지역응급의료기관,경기도 화성시 병점구 화산북로 21 (송산동),031-8077-7200,031-8077-7219,37.2100621333,127.0080345889,경기도
A2100018,의료법인은혜와감사의료재단화성중앙종합병원,G007,지역응급의료기관,경기도 화성시 만세구 향남읍 발안로 5,031-352-8114,031-371-7998,37.13118966594901,126.910365631779,경기도
A2100006,의료법인인봉의료재단뉴고려병원,G006,지역응급의료센터,"경기도 김포시 김포한강3로 283, 뉴고려병원 (장기동)",031-998-8129,031-980-9119,37.64095507933562,126.66022763544733,경기도
A2100283,의료법인일산복음병원,G009,응급실운영신고기관,"경기도 고양시 일산동구 고양대로 760, 가동 (중산동, 일산복음병원)",031-977-5000,031-929-0330,37.68205457051212,126.7801254241406,경기도
A2100290,의료법인자인의료재단더자인병원,G007,지역응급의료기관,"경기도 고양시 덕양구 중앙로 555, /중앙로557번길 14, 지하1(일부),1-6층 (행신동)",031-930-3114,031-930-3119,37.62297864974611,126.83568238933726,경기도
A2100301,의료법인청파의료재단송탄중앙병원,G009,응급실운영신고기관,경기도 평택시 오좌동길 17-16 (독곡동),031-612-7000,031-612-7000,37.0885408447458,127.0641653404409,경기도
A2100124,의료법인칠석의료재단사랑의병원,G007,지역응급의료기관,"경기도 안산시 상록구 예술광장로 69, 사랑의병원(593-4번지/593-5번지) (성포동)",031-439-3000,031-502-0119,37.327020396286656,126.84486352776976,경기도
A2100175,의료법인토마스의료재단윌스기념병원,G007,지역응급의료기관,경기도 수원시 팔달구 경수대로 437 (인계동),031-223-2233,031-240-6119,37.26502978126203,127.0254583588438,경기도
A2100021,의료법인플러스의료재단단원병원,G007,지역응급의료기관,경기도 안산시 단원구 원포공원1로 20 (초지동),031-8040-6600,031-8040-5911,37.3002188172703,126.81357021652913,경기도
A2100010,인산의료재단메트로병원,G009,응급실운영신고기관,"경기도 안양시 만안구 명학로33번길 8 (안양동, 메트로병원)",031-467-9000,031-467-9999,37.378597979767605,126.93529986382785,경기도
A2100038,인제대학교일산백병원,G006,지역응급의료센터,경기도 고양시 일산서구 주화로 170 (대화동),031-910-7114,031-910-7114,37.67436543525074,126.75031388046008,경기도
A2118788,중앙대학교광명병원,G006,지역응급의료센터,경기도 광명시 덕안로 110(일직동),1811-7800,02-2222-1351,37.4245974351169,126.885910072451,경기도
A2100030,차의과학대학교분당차병원,G001,권역응급의료센터,경기도 성남시 분당구 야탑로 59 (야탑동),031-780-5000,031-780-5840,37.4101145912911,127.125083678928,경기도
A2100155,참조은병원,G006,지역응급의료센터,경기도 광주시 광주대로 45 (경안동),1600-9955,031-881-9119,37.41095382720454,127.26022384023878,경기도
A2100150,추병원,G007,지역응급의료기관,경기도 의정부시 평화로 650 (의정부동),031-845-7777,031-845-8313,37.7499600932,127.0450970956,경기도
A2119939,클래스병원,G009,응급실운영신고기관,"경기도 안산시 단원구 적금로1길 11, SR노빌리안 3~8층 1층(101~103)호 (고잔동)",031-401-1111,070-4102-6112,37.3182382909417,126.827283522341,경기도
A2117994,학교법인을지학원의정부을지대학교병원,G006,지역응급의료센터,"경기도 의정부시 동일로 712, 을지대학교 의정부캠퍼스 및 부속병원 (금오동)",031-951-1000,031-8074-0119,37.7518290378344,127.050695679688,경기도
A2100046,한림대학교동탄성심병원,G006,지역응급의료센터,경기도 화성시 동탄구 큰재봉길 7 (석우동),031-8086-3000,031-8086-2119,37.216650193541184,127.08000809235827,경기도
A2100004,한림대학교성심병원,G001,권역응급의료센터,경기도 안양시 동안구 관평로170번길 22 (평촌동),031-380-1500,031-380-1500,37.3916511961,126.9619708207,경기도
A2100039,한양대학교구리병원,G006,지역응급의료센터,경기도 구리시 경춘로 153 (교문동),031-1644-9118,1644-9118,37.6012760077,127.13250756940002,경기도
A2100037,현대병원,G006,지역응급의료센터,경기도 남양주시 진접읍 봉현로 21,031-574-9118~9,031-574-0114,37.715486551355895,127.17984989970033,경기도
A2120077,혜성병원,G009,응급실운영신고기관,"경기도 남양주시 경춘로1308번길 4, 1층일부~10층 (평내동)",031-815-1119,031-815-1119,37.6501095660175,127.238321935956,경기도
A2116685,화성유일병원,G009,응급실운영신고기관,경기도 화성시 만세구 남양읍 남양로920번길 6,031-355-0119,031-351-0129,37.21778332253106,126.83265357240964,경기도
A2100015,효산의료재단안양샘병원,G006,지역응급의료센터,"경기도 안양시 만안구 삼덕로 9 (안양동, 안양샘병원)",031-467-9114,031-467-9119,37.39340413136221,126.92447734066778,경기도
A2100054,효산의료재단지샘병원,G006,지역응급의료센터,"경기도 군포시 군포로 591 (당동, (G샘병원)군포샘병원)",031-389-3000,031-389-3119,37.35864464913468,126.94735972779895,경기도
A2800032,강병원,G007,지역응급의료기관,경상남도 고성군 고성읍 중앙로 49,055-673-0101,055-673-4848,34.97415924940364,128.32528942283565,경상남도
A2803677,강일병원,G007,지역응급의료기관,경상남도 김해시 가락로 359 (구산동),055-822-0100,,35.2567043538,128.869611099,경상남도
A2800076,거창적십자병원,G007,지역응급의료기관,경상남도 거창군 거창읍 중앙로 91,0559443251,055-949-3359,35.686801911628535,127.90877080146284,경상남도
A2800001,경상국립대학교병원,G001,권역응급의료센터,경상남도 진주시 강남로 79 (칠암동),055-750-8000,055-750-8282,35.176340165507916,128.09564813723503,경상남도
A2800025,경상남도마산의료원,G007,지역응급의료기관,경상남도 창원시 마산합포구 3·15대로 231 (중앙동3가),055-249-1000,055-249-1119,35.19906819846745,128.56551976148475,경상남도
A2800012,근로복지공단 창원병원,G009,응급실운영신고기관,경상남도 창원시 성산구 창원대로 721 (중앙동),055-280-7619,055-280-0400,35.21861866618743,128.6715437456084,경상남도
A2803447,더조은병원,G009,응급실운영신고기관,경상남도 고성군 고성읍 동외로 142,055-672-1111,055-804-8888,34.97372179164495,128.3262148441529,경상남도
A2800113,밀양병원,G007,지역응급의료기관,경상남도 밀양시 밀양대로 1823 (삼문동),055-351-3993,055-356-9119,35.48717798967958,128.7485700045556,경상남도
A2800084,반도병원,G007,지역응급의료기관,경상남도 진주시 남강로 701 (장대동),0557476000,055-749-0200,35.19175352096591,128.08828232510143,경상남도
A2800019,베데스다복음병원,G007,지역응급의료기관,경상남도 양산시 신기로 28 (신기동),055-384-9901,055-781-9911,35.3532221786617,129.04356811738057,경상남도
A2803867,본바른병원,G009,응급실운영신고기관,"경상남도 양산시 물금읍 청운로 343, 양산바른빌딩 1층일부, 4층~10층",055-785-3117,055-785-3117,35.3269948206,129.0152648627,경상남도
E2800380,산청군보건의료원,G007,지역응급의료기관,경상남도 산청군 산청읍 중앙로 97,055-970-7500,055-970-7582,35.4160463200281,127.88419591621033,경상남도
A2800055,삼성합천병원,G007,지역응급의료기관,경상남도 합천군 합천읍 대야로 876,055-933-2200,070-5125-5030,35.56635668398722,128.16327169035327,경상남도
A2800101,삼천포제일병원,G007,지역응급의료기관,"경상남도 사천시 중앙로 136, 삼천포제일병원 (벌리동)",055-833-4400,055-830-3099,34.9375392862,128.0795128117,경상남도
A2800092,새통영병원,G007,지역응급의료기관,경상남도 통영시 무전7길 192 (무전동),055-646-6000,055-640-4119,34.86535758722789,128.4206525557243,경상남도
A2800138,시영의료재단 영동병원,G009,응급실운영신고기관,경상남도 함안군 칠원읍 용산2길 45-13,055-586-2000,055-586-2000,35.308982637512486,128.51554361153526,경상남도
A2800011,양산부산대학교병원,G001,권역응급의료센터,경상남도 양산시 물금읍 금오로 20,055-360-1000,055-360-1463,35.32781996751182,129.00588613550423,경상남도
A2804593,양산성모병원,G007,지역응급의료기관,경상남도 양산시 서창로 59 (명동),1600-7582,055-912-9785,35.4063127806528,129.164516842928,경상남도
A2800021,연세에스병원,G007,지역응급의료기관,경상남도 창원시 진해구 해원로32번길 13 (이동),055-548-7700,055-548-7789,35.1547321003,128.6983352518,경상남도
A2800090,의령병원,G007,지역응급의료기관,경상남도 의령군 의령읍 의병로14길 10,055-573-4100,055-573-6806,35.31860563079656,128.2586798056445,경상남도
A2800008,의료법인 거붕 백병원,G007,지역응급의료기관,경상남도 거제시 계룡로5길 14 (상동동),055-733-0000,055-733-0180,34.873675809023304,128.62605696825915,경상남도
A2800005,의료법인 대우의료재단대우병원,G007,지역응급의료기관,경상남도 거제시 두모길 16 (두모동),055-680-8114,055-680-8119,34.87222152119712,128.72216421007292,경상남도
A2800015,의료법인 문병욱의료재단 진주고려병원,G007,지역응급의료기관,"경상남도 진주시 동진로 2 (칠암동, 진주고려병원)",055-751-2500,055-751-2525,35.17849131749577,128.09223855742437,경상남도
A2800045,의료법인 바른의료재단 바른병원,G009,응급실운영신고기관,경상남도 진주시 동진로 7 (칠암동),055-790-3000,055-790-3651,35.179208158439586,128.09170475475878,경상남도
A2800057,의료법인 생명사랑의료재단 밀양윤병원,G009,응급실운영신고기관,경상남도 밀양시 삼문중앙로 32 (삼문동),055-354-2200,,35.48468031922943,128.75564526263582,경상남도
A2800022,의료법인 성념의료재단맑은샘병원,G007,지역응급의료기관,경상남도 거제시 연초면 거제대로 4477,055-731-1240,055-736-0119,34.89793483097861,128.64371778461182,경상남도
A2800094,의료법인 이도의료재단 남해병원,G007,지역응급의료기관,경상남도 남해군 남해읍 화전로 169,055-863-2201,055-860-6630,34.84640603127717,127.89425156305387,경상남도
A2800063,의료법인 지평의료재단 메가병원,G009,응급실운영신고기관,경상남도 김해시 계동로 237 (대청동),055-903-9000,055-903-9079,35.19136230343627,128.80394805433366,경상남도
A2800014,의료법인갑을의료재단 갑을장유병원,G007,지역응급의료기관,경상남도 김해시 장유로 167-13 (부곡동),055-310-6000,055-310-6119,35.208667155880995,128.80564300531228,경상남도
A2800018,의료법인석영의료재단창원제일종합병원,G009,응급실운영신고기관,경상남도 창원시 마산합포구 3·15대로 238 (중앙동3가),055-223-9000,055-249-7777,35.199036071110854,128.56772923734115,경상남도
A2800006,의료법인숭인의료재단 김해복음병원,G006,지역응급의료센터,경상남도 김해시 활천로 33 (삼정동),055-330-8888,055-330-8844,35.2304897832,128.8935457971,경상남도
A2800068,의료법인승연의료재단 삼천포서울병원,G007,지역응급의료기관,경상남도 사천시 남일로 33 (동금동),055-835-9900,055-830-9019,34.93302179207928,128.08012015415227,경상남도
A2800146,의료법인신의료재단김해삼승병원,G009,응급실운영신고기관,경상남도 김해시 김해대로 2335 (부원동),055-310-7700,055-310-7777,35.226730571,128.8821901808,경상남도
A2800009,의료법인청아의료재단청아병원,G007,지역응급의료기관,경상남도 창원시 마산회원구 내서읍 광려천서로 67 (청아병원),055-230-1500,055-230-1700,35.24798366104159,128.50971731844322,경상남도
